///Watcher Expeditions (3466127398)
WatcherExpeditions-name|Экспедиции для Созерцателя
Allow Hunting challenges to pick : Sand Worm. Similiar Monster Kelp, but stun you making escape not possible once grabbed, and can hide.|Разрешить выбирать охотничьи задания: Песчаный червь. Похож на морского монстра, но оглушает, не давая сбежать, если схватит, и может прятаться.
Hunt - Box Worm|Охота — Коробчатый червь
Hunt - Big Moth|Охота — Большая моль
Allow Hunting challenges to pick : Big Moth. With 1.10.2 these seem more fight-able and escapeable. |Разрешить выбирать охотничьи задания: Большая моль. В версии 1.10.2 они кажутся более боеспособными и способными к побегу.
Hunt - Bone Shaker|Охота — Костотряс
Allow Hunting challenges to pick : Bone Shaker. They only appear in rot regions and can be killed from the top, by knocking them over. |Разрешить выбирать охотничьи задания: Костотряс. Они появляются только в местах гниения, и их можно убить, сбив с ног.
///Экспедиция
Bone Shakers|Костотрясы
Perk_Camo_Name|Камуфляж
Perk_Camo_Desc|Удерживай ОСОБУЮ кнопку, чтобы скрыться от хищников.
Perk_LongWarp_Name|Перманентные порталы
Perk_LongWarp_Desc|Сформированные порталы остаются навсегда, а не исчезают после 5 циклов.<LINE>Эксклюзив для созерцателя.
Perk_PoisonSpear_Name|Ядовитое копьё
Perk_PoisonSpear_Desc|Начни экспедицию с ядовитым копьём.
Perk_Boomerang_Name|Бумеранг
Perk_Boomerang_Desc|Все камни с некоторым шансом могут быть заменены на бумеранг.
Burden_Rot_Name|ГНИЛЬ
Burden_Rot_Desc|Все регионы изначально полностью охвачены и заражены гнилью.<LINE>Это сделано только для усложнения задачи.
Challenge_Rot_Name|Заражение гнилью
Challenge_Rot_Desc|Зарази <score_target> регионов разумной гнилью [<current_score>/<score_target>]
Challenge_ST_Name|Spinning Top
Challenge_ST_Desc|Посети Spinning Top в регионе: <region>
Challenge_Warp_Name|Порталов за цикл
Challenge_Warp_Desc|Создай <target> порталов за один цикл [<current>/<target>]
challenge_Prince_Name|Доставка Принцу
challenge_Prince_Desc|Доставь <item> Принцу
Mission_Rot|Гниющий Мир
Watcher_Ex_Description|Прокладывай новые пути и ищи в Ряби новую цель.
