///The Gravel-Eater (2964671523)///
kingmaxthe2.gravelslug-name|The Gravel-Eater
I bet you're wondering how it came to be that you are my creation.|Держу пари, тебе интересно, как получилось, что ты — моё творение.
I took note of the persistence and... annoyance... of your kind repeatedly entering the floor of my chamber.|Я обратил внимание на настойчивость и... раздражение... таких, как ты, постоянно появляющихся на полу моей комнаты.
No easy feat for just any creature, might I add.|Должен добавить, что это нелегкий подвиг для любого существа.
So, I deep-scanned one for myself to create a template and used the DNA scan to replicate my own.|Итак, я глубоко просканировал одного из них для себя, чтобы создать шаблон, и использовать отсканированное ДНК для создания своего собственного.
A method used by some of my old peers, you see...|Видишь ли, этот метод использовали некоторые мои бывшие коллеги...
You were the most promising iteration by far. A good balance between Void Fluid and enhanced regrowing tissue to counteract.|Ты был самой многообещающей итерацией на сегодняшний день. Хороший баланс между Пустотной жидкостью и усиленной регенерацией тканей для противодействия.
However, your brain activity was minimal, and any stimulus I could apply was ineffective.|Однако активность твоего мозга была минимальной, и любой стимул, который я мог применить, был неэффективен.
I'm almost certain I would have been able to wake you if my equipment had been in a better state.|Я почти уверен, что смог бы разбудить тебя, если бы моё оборудование было в лучшем состоянии.
I lost contact with that sector soon after, however...|Однако вскоре после этого я потерял связь с этим сектором...
I guess the cryo chamber held up even after I collapsed, which is quite the surprise.|Я думаю, криокамера работала даже после того, как я потерял сознание, что меня немало удивило.
Well... Welcome to the waking, rotting world.|Хорошо... Добро пожаловать в пробуждающийся, гниющий мир.
///Рандомные сообщения Гальки
///1
Why is it that you return?|Почему ты возвращаешься?
There is nothing here for you.|Здесь для тебя ничего нет.
Though it is nice having someone to talk to.|Хотя приятно, когда есть с кем поговорить.
Being alone with your own thoughts can drive you mad.|Пребывание наедине со своими собственными мыслями может свести тебя с ума.
I compute several complex processes at once to distract myself.|Я вычисляю сразу несколько сложных процессов, чтобы отвлечься.
That and this hymn that the ancients used to play...|Это и ещё этот гимн, который играли древние...
Even if it's not much, thank you for listening to me.|Даже если это не так уж много, спасибо, что выслушал меня.
///2
It has become noticeably colder as of late.|В последнее время стало заметно холоднее.
You should go west where it is warmer.|Тебе следует отправиться на запад, где теплее.
You might even find more beings similar to yourself.|Возможно, ты даже найдёшь больше существ, похожих на тебя.
Was... that a glint of emotion?|Было ли это... проявлением эмоций?
Guess I finally cracked the code to that poker face.|Похоже, я наконец-то разгадал код этого бесстрастного лица.
///3
Little experiment. Hello.|Маленький эксперимент. Привет.
That scan I took was near perfect, no abnormalities.|То сканирование, которое я сделал, было почти идеальным, никаких отклонений.
Plenty of room to work with.|Достаточно места для работы.
The organisms I made had inherited a few colors that strayed from the expected white tone.|Созданные мной организмы унаследовали несколько цветов, которые отличались от ожидаемого белого тона.
If it wasn't white, it was usually yellow.|Если он не был белым, то обычно был желтым.
But you, continuing to be an oddity, turned out to be a blue shade.|Но ты, продолжая оставаться странностью, оказался голубого оттенка.
Must have been a recessive trait.|Должно быть, это был рецессивный признак.
///4
Nice to see that you are in good health.|Приятно видеть, что ты в добром здравии.
Or... at least in an alive way.|Или... по крайней мере, в живом смысле.
Though I imagine true death would be preferred to constant dissolving of your flesh.|Хотя, я полагаю, настоящая смерть была бы предпочтительнее постоянного истребления твоей плоти.
That void fluid in your stomach is problematic if not tended to, as I'm sure you are already aware.|Я уверен, что ты уже знаешь, что Пустотная жидкости в твоём желудке создает проблемы, если за ним не ухаживать.
The sheer fact you are alive means that you have found a sustainable solution.|Сам факт того, что ты жив, означает, что ты нашёл надёжное решение.
Or a way to temporarily stave off the pain.|Или способ временно унять боль.
You creatures always seem to find a way...|Вы, существа, кажется, всегда находите выход...
///5
Thank you for the company.|Спасибо тебе за компанию.
I've been alone since my collapse.|Я был один с тех пор, как потерял сознание.
I treasured the time I had with my close neighbor, Moon.|Я дорожил временем, проведённым с моей близкой соседкой Луной.
Big sis...|Старшей сестрой...
Say hello for me if you visit her, if you haven't already.|Передавай от меня привет, если будешь навещать её, если ещё этого не сделал.
She's not in much better condition than I am.|Она не в лучшем состоянии, чем я.
///Обидеть Гальку
Why have you taken all i have?|Почему ты забрал всё, что у меня есть?
Give it to me.|Отдай её мне.
Please bring it back to me.|Пожалуйста, верни её мне.
Go away|Уходи
I have not forgotten the pain you have given me.|Я не забыл ту боль, которую ты мне причинил.
I have so little left. Why is it that you hurt me?|Мне так мало осталось. Почему ты причиняешь мне боль?
Please leave me alone.|Пожалуйста, оставь меня в покое.
///Не работающие сообщения
///Сообщение Луны
Hello Little Creature! You can understand me, can't you?|Привет, Маленькое создание! Ты ведь понимаешь меня, правда?
You seem unwell...|Ты выглядишь нездоровым...
let's see...|Давай посмотрим...
Facinating. Your stomach is full of void fluid.|Твой желудок полон Пустотной жидкости.
It's highly unlikely that you gained this adaptation naturally. <LINE>Especially as it seems to give you great discomfort!|Крайне маловероятно, что ты приобрёл эту адаптацию естественным путем.<LINE>Тем более, что это, по-видимому, доставляет тебе большой дискомфорт!
My only assumption is that you were created by another iterator. But who, and what purpose is a mystery to me...|Моё единственное предположение заключается в том, что ты был создан другим итератором.<LINE>Но кем и с какой целью — для меня загадка...
You can stay as long as you like, the rain isnt as deadly as it once was. <LINE>It however has become a little cold as of late, so i advise you keep warm|Ты можешь оставаться здесь сколько угодно, дождь уже не такой смертоносный, как раньше.<LINE>Однако в последнее время стало немного холодновато, поэтому я советую тебе согреться.
///Сообщения запускаются при количестве оставшихся нейронов 1,2,3... (при приходе на следующий цикл (срабатывает один раз))
///1
///2
...leave...|...Уходи...
///3
You...|Ты...
Please don't... take... more from me... Go.|Прошу, не... забирай... больше... Уходи.
/// 4
Oh. You.|А, это ты.
///5
Oh so you've returned.|Ох, так ты вернулся.
You have taken from me what many like you have gifted.|Ты отнял у меня то, что подарили мне многие подобные тебе.
It can never be returned.|Это никогда не может быть возвращено.
Leave with the guilt that you are the worst of your kind.|Уходи с чувством вины за то, что ты худший из себе подобных.
///6
Oh so you've returned.|Ох, так ты вернулся.
You have hurt me whether you realize it or not.|Ты причинил мне боль, осознаёшь ты это или нет.
I do not know what you gained from your fruitless efforts of partially consuming my lifeline.|Я не знаю, чего ты добился своими бесплодными попытками частично отнять у меня спасательный круг.
But please be on your way.|Но, пожалуйста, продолжайте свой путь.
///7
Oh, Hello!|Ох, привет!
As i said there is nothing i can do for you other than wish for your safety.|Как я уже сказала, я ничего не могу для тебя сделать, кроме как пожелать тебе безопасности.
You can stay as long as you like. The stars are beautiful at night, but you don't need to stay that long.|Ты можешь оставаться здесь столько, сколько захочешь. Ночью звезды прекрасны, но тебе не обязательно оставаться так долго.
I wish the best for your future travels.|Я желаю тебе всего наилучшего в твоих будущих путешествиях.
///Описание камня
It's a rock. Unfortunately, I don't have any tea to go along with your unorthidox diet unfortunately.|Это камень. К сожалению, у меня нет чая, который мог бы дополнить твою неортодоксальную диету.
///Описание копья
It's a piece of sharpened rebar... You seem capable of consuming it.<LINE>Careful not to hurt yourself by attempting to do so!|Это кусок заострённой арматуры... Кажется, ты способен проглотить её. Осторожно, не поранься, пытаясь это сделать!
///Описание MoonCloak///
Is this... Void Fluid? On a weapon like this would prove to be deadly.<LINE>Clever use of your condition little one!|Это... Пустотная жидкость? Такое оружие может оказаться смертельно опасным. Умело используй свое состояние, малыш!
///Эхо
///Эхо Подземка
A little beast!|Маленький зверек!
But are you not quite a beast past that veil?|Но разве ты не настоящий зверь за этой завесой?
I know the struggles you bear, the burdens your vessel embodies.|Я знаю, какую борьбу ты переносишь, какое бремя несёт твой корабль.
An old method may stil apply; you are already following some steps.|Старый метод всё ещё может быть применим; ты уже выполняешь некоторые шаги.
The struggles will be unending, but the significance is your choice alone.|Борьба будет бесконечной, но значение имеет только твой выбор.
What will you do with this new opportunity?|Что ты будешь делать с этой новой возможностью?
///Эхо Массивы ферм
Curious...|Любопытно...
A being such as I, not anchored to one place...|Такое существо, как я, не привязано к одному месту...
How have you surpassed the length of your chain?|Как ты превзошёл длину своей цепочки?
Fled the reins that grasped your being to linger there?|Сбежал от узды, которая сжимала твоё существо, чтобы задержаться там?
To have escaped your eternal imprisonment.|Чтобы избежать твоего вечного заточения.
And yet you still linger.|И всё же ты всё ещё медлишь.
///Эхо Небесные острова
Do you hear it?|Ты это слышишь?
The voice that calls from your very being?|Голос, который зовет из самого твоего существа?
I'm familiar with it. It's pronounced within the air...|Мне это знакомо. Это произносится в воздухе...
But now, it's fainter. Calling from another place...|Но сейчас он слабее. Звонит из другого места...
How you have relocated your buzz is a mystery to me.|Как ты перенёс свой кайф, для меня загадка.
///Эхо Дымоход
From my perch, I have seen many things, as have you.|Со своего насеста я многое повидал, как и ты.
We've seen the rain fade as cold begins to bite the air.|Мы видели, как дождь стих, когда в воздухе стало холодать.
How you have found a way to see further beyond your own perch beguiles me.|То, как ты нашёл способ заглянуть дальше своего насеста, восхищает меня.
A vessel of flesh not of your own.|Сосуд из чужой плоти.
Are your memories the same?|Твои воспоминания те же самые?
///Эхо Безмолвное сооружение
My presence has been revealed to you now, little one.|Теперь тебе открылось Моё присутствие, малыш.
Your attunement has become much closer to my own.|Твоя настроенность стала намного ближе к моей собственной.
Through awakening you, I have seen through your eyes and met your grievances.|Пробудив тебя, я увидел всё твоими глазами и справился с твоими обидами.
And here I am again, to set forth another simple creature.|И вот я снова здесь, чтобы представить ещё одно простое существо.
I will continue to be alongside you until the time is right.|Я буду продолжать быть рядом с тобой, пока не придёт время.
What you decide to do with your new chance at life is yours alone.|То, что ты решишь сделать со своим новым шансом в жизни, зависит только от тебя.
///Продолжение диалога с эхо (1)
Hello, little one.|Привет, малыш.
I have awakened you from your deep slumber.|Я пробудил тебя от твоего глубокого сна.
A being such as I cannot get another chance such as this.|У такого существа, как я, не может быть другого такого шанса, как этот.
Here I am again, to set forth another simple creature.|Я снова здесь, чтобы представить ещё одно простое существо.
I will continue to be alongside you until the time is right.|Я буду продолжать быть рядом с тобой, пока не придёт время.
What you decide to do with your new chance at life is yours alone.|То, что ты решишь сделать со своим новым шансом в жизни, зависит только от тебя.
Return to me when you need me most.|Вернись ко мне, когда я буду нужен тебе больше всего.
///Продолжение диалога с эхо (2)
My presence has been revealed to you once again, little one.|Мое присутствие было открыто тебе ещё раз, малыш.
I will help you to the best of my abilities.|Я помогу тебе в меру своих возможностей.
Seek memories of your kind, visions of times beyond your own.|Ищи воспоминания о твоём роде, видения времён, превосходящих твои собственные.
I have your sight, and you have mine.|У меня твоё зрение, а у тебя моё.
Use it well.|Используй его с толком.
///Продолжение диалога с эхо (3)
My full presence has been revealed to you now, little one.|Мое полное присутствие открылось тебе сейчас, малышка .
Your attunement has become much closer to our own.|Твоё созвучие стало намного ближе к нашему.
Through awakening you, I have seen through your eyes and met your grievances.|Пробудив тебя, я увидел твоими глазами и встретил твои обиды.
And here I am again, to set you forth to a world beyond my reach.|И вот я снова здесь, чтобы отправить тебя в мир, недоступный для меня.
Take care of yourself little one.|Береги себя, малыш.
///Финал
Why won't you wake up?|Почему ты не просыпаешься?
I've tried again, and again to stimulate your brain to function with no avail.|Я пытался снова и снова стимулировать работу твоего мозга, но безуспешно.
I have just about lost hope of ever creating a solution to my very own problem.|Я почти потерял надежду когда-либо найти решение своей собственной проблемы.
I can feel everything falling away from me. My memories, my work, my hope... All lost to a foolish mistake...|Я чувствую, как всё уходит от меня. Мои воспоминания, моя работа, моя надежда... Всё потеряно из-за глупой ошибки...
I'm so close to slowing- Even halting my sickness!|Я так близок к тому, чтобы замедлить — даже остановить свою болезнь!
Oh Little Experiment... Please... wake up...|Ох, маленький эксперимент... Пожалуйста... проснись...
This is no way for a god to die...|Это не способ для бога умереть...
///КОНЕЦ СООБЩЕНИЙ
