///The Unbound Slugcat (3262661679)///
NCR.theunbound-name|The Unbound Slugcat
FP: Wait... Part of it has already been burned away. Who did you give this to first?<LINE>Whoever it was, they've already read it, and the pearl has already met its mark.|ПГ: Подожди... Часть её уже сгорела. Кому ты отдал это первым?<LINE>Кто бы это ни был, он уже это прочитал, и жемчужина уже достигла своей цели.
FP: I feel uncomfortable with this thing in my chamber, but perhaps I can reverse engineer it somehow<LINE>and create a cure for myself. At least slow down the decay.|ПГ: Мне не по себе от этой штуки в моей камере, но, возможно, я смогу как-то перестроить её и создать лекарство для себя.<LINE>По крайней мере, замедлить распад.
FP: .  .  .|ПГ: .  .  .
FP: .  .  .  .  .  .|ПГ: .  .  .  .  .  .
FP: Oh, you're still here.|ПГ: Ох, ты всё ещё здесь.
FP: Please leave now.|ПГ: Пожалуйста, уходи.
///Прийти на следующий цикл дать эту же жемчужину
FP: Why did you take this pearl, only to give it back?|ПГ: Почему ты взял эту жемчужину, а потом вернул её?
FP: Make up your mind, beast.|ПГ: Решайся, зверёк.
///Прийти на следующий цикл
FP: What is your purpose in coming here? Are you here to mock me?|ПГ: С какой целью ты пришёл сюда? Ты здесь, чтобы насмехаться надо мной?
FP: Do you mind? I am busy.|ПГ: Ты не возражаешь? Я занят.
FP: What is it this time?|ПГ: Что на этот раз?
FP: Your presence is not welcome. Please leave.|ПГ: Твоё присутствие нежелательно. Пожалуйста, уходи.
FP: I am quite busy. Get on with it.|ПГ: Я очень занят. Смирись с этим.
FP: I will not rid myself of you, will I...?|ПГ: Я не избавлюсь от тебя, не так ли...?
FP: There are plenty of better things we both could be doing. And yet here you are.|ПГ: Есть множество вещей, которыми каждый из нас мог бы заняться. И всё же ты здесь.
FP: I have been nothing but cold to you. And yet, here you are.|ПГ: Я был с тобой холоден. Однако же ты здесь.
FP: What goes through your miniscule synapses?|ПГ: Что проходит через твои миниатюрные синапсы?
FP: Is it only because I cannot kill you? Or is there another reason?|ПГ: Это только потому, что я не могу тебя убить? Или есть другая причина?
///Цветной жемчуг
FP: Fine. I will read your garbage, provided it leads you to leave me be.|ПГ: Отлично. Я прочитаю твой мусор, если это заставит тебя оставить меня в покое.
FP: More? Really?|ПГ: Ещё? Неужели?
FP: Fine.|ПГ: Прекрасно.
FP: This again? Fine.|ПГ: Опять? Прекрасно.
FP: As if I am not busy enough...|ПГ: Как будто я недостаточно занят...
FP: I suppose I must read to you again.|ПГ: Полагаю, я должен прочитать тебе это ещё раз.
FP: I would much prefer it if you did not bring these upon every given opportunity.|ПГ: Я бы предпочёл, чтобы ты не приносил их при каждом удобном случае.
FP: You are quite skilled when it comes to finding these.|ПГ: У тебя хорошо получается находить такие вещи.
FP: I suppose I will entertain this behavior a short while longer.|ПГ: Полагаю, я ещё немного потерплю такое поведение.
FP: Let us see if there is anything important written on this.|ПГ: Посмотрим, не написано ли здесь что-нибудь важное.
FP: I suppose you expect me to read this.|ПГ: Полагаю, ты ожидаешь, что я прочту это.
FP: Something new? Fine.|ПГ: Что-то новое? Замечательно.
FP: Is that something new? Allow me to see.|ПГ: Это что-то новое? Позволь мне взглянуть.
FP: I have read this. As I have stated before:|ПГ: Я уже читал это. Как я и говорил ранее:
///Разное
FP: Take this and be gone. You are nothing but trouble!|ПГ: Возьми это и уходи. От тебя одни неприятности!
FP: ...|ПГ: ...
FP: . . . !|ПГ: . . . !
FP: What is this?|ПГ: Что это?
FP: And I suppose now you expect me to continue. Typical...|ПГ: И я полагаю, теперь ты ожидаешь, что я продолжу. Как типично...
FP: Do not do such things.|ПГ: Не делай таких вещей.
FP: Stay still and listen this time.|ПГ: На этот раз оставайся неподвижным и слушай.
FP: I would appreciate you not doing that again.|ПГ: Я был бы признателен, если бы ты так больше не делал.
FP: Good riddance.|ПГ: Скатертью дорога.
FP: Was that necessary?|ПГ: Это было необходимо?
FP: Clearly this was a waste of time.|ПГ: Очевидно, это была пустая трата времени.
FP: Was it that boring?|ПГ: Это было так скучно?
FP: I should have known a beast wouldn't understand.|ПГ: Мне следовало догадаться, что зверь ничего не поймёт.
FP: Do you mind?|ПГ: Не возражаешь?
FP: Don't come back.|ПГ: Не возвращайся.
FP: How did you fit them inside here anyhow?|ПГ: Как ты вообще их сюда протащил?
FP: I am afraid to ask how you brought your friend here.|ПГ: Боюсь спросить, как ты привёл сюда своего друга.
FP: Take your friend with you. Please. I beg you.|ПГ: Забери его с собой. Пожалуйста. Умоляю.
FP: I suppose your presence is not entirely unwelcome at this time.|ПГ: Полагаю, сейчас твоё присутствие не совсем нежелательно.
FP: Yes? What is it?|ПГ: Хм? Что это?
FP: Are you not busy? Are we both not busy, beast?|ПГ: Ты не занят? Мы оба не заняты, зверёк?
///Все остальные
A small beast, on the floor of my chamber.|Маленький зверёк на полу моей комнаты.
You do not appear to belong to Suns. What is it you want?|Ты, кажется, не принадлежишь к Семи Красным Солнцам. Чего ты хочешь?
I do not have time to entertain your antics.|У меня нет времени развлекаться твоими выходками.
///КОНЕЦ СООБЩЕНИЙ
