GATE_HI_VS: -2028.808><741.1697><-1371.405><632.8018><2><><48><35
VS_D05: 1751.999><-824.9518><1118.287><-574.6094><0><Sump Tunnel><198><35
VS_D03: 575.7857><-555.0803><435.3205><-447.12><1><><101><72
VS_A09: 793.8543><-577.4133><654.0819><-373.4775><0><Sump Tunnel><48><35
VS_A10: 1006.74><-575.3209><772.4298><-359.7796><0><Sump Tunnel><48><35
VS_B13: 1017.672><-730.0475><770.6798><-581.6664><0><Sump Tunnel><48><72
VS_S06: 880.7157><-770.3364><652.3026><-508.8883><0><><48><35
VS_B14: 1263.78><-791.7715><894.9329><-570.7148><0><Sump Tunnel><101><35
VS_A11: 1172.375><-728.6434><891.231><-439.6294><0><Sump Tunnel><48><35
VS_A12: 1391.252><-701.1644><1007.585><-438.6919><0><Sump Tunnel><48><35
VS_A15: 1600.471><-671.2449><1154.094><-437.3779><0><Sump Tunnel><48><35
VS_B15: 1281.619><-612.5724><896.911><-314.0794><0><Sump Tunnel><101><35
VS_C08: 2315.458><-786.0123><1533.052><-548.1595><0><Sump Tunnel><148><35
VS_B18: 1894.971><-714.0784><1312.386><-453.9613><0><Sump Tunnel><101><35
VS_C10: -27.98295><-584.3668><41.50897><-460.9154><1><><150><35
VS_C11: -838.7251><-531.5051><-446.6117><-493.0708><2><><48><112
VS_C12: -459.2506><-685.4033><-313.0013><-501.4945><1><><151><35
VS_E02: -1070.034><-555.5698><-668.8852><-511.7781><2><><101><112
VS_B17: -1105.248><-272.4055><-668.3442><-228.3188><1><Pipeyard><101><37
VS_F02: -1162.474><-61.30844><-690.9255><-106.4961><1><Pipeyard><151><75
VS_E06: -1512.231><-191.0165><-1004.444><-183.8132><1><Pipeyard><148><75
VS_S08: -1783.647><-181.2163><-1124.135><-143.5515><1><><48><35
VS_H01: -1860.657><-949.447><-1495.568><-713.912><2><><401><35
VS_B06: -1159.39><-902.6063><-677.2004><-741.5436><2><><48><78
VS_S03: -1267.392><-809.9542><-791.7002><-587.2438><2><><48><35
VS_MLE1: -1249.525><-365.4706><5.499871E-05><-4.426726E-05><2><><48><35
VS_MLE2: -1153.525><-308.4706><5.499871E-05><-4.426726E-05><2><><48><35
GATE_VS_ML: -1066.525><-209.4707><5.499871E-05><-4.426726E-05><2><><48><35
VS_RF01: 950.5895><-779.3866><0.0001909406><-0.002593872><1><><48><35
VS_RF02: 1405.589><-780.3866><0.0001909406><-0.002593872><1><><256><35
VS_RF03: 1717.589><-904.3866><0.0001909406><-0.002593872><1><><48><74
GATE_RF_VS: 1584.589><-959.3866><0.0001909406><-0.002593872><1><><48><35
VS_A_con1: 754.5895><617.6134><0.0001909406><-0.002593872><1><><48><35
VS_A_con2: 891.5895><618.6134><0.0001909406><-0.002593872><1><><48><35
VS_A_con3: 1034.589><620.6134><0.0001909406><-0.002593872><1><><48><35
VS_con4: 945.5895><691.6134><0.0001909406><-0.002593872><1><><48><35
GATE_VS_UF: 1083.589><725.6134><0.0001909406><-0.002593872><1><><48><35
GATE_VS_F1: 1479.589><-823.3866><0.0001909406><-0.002593872><2><><48><35
VS_4B: -727.4105><669.6134><0.0001909406><-0.002593872><2><><52><34
GATE_4B_VS: -588.4105><685.6134><0.0001909406><-0.002593872><2><><48><35
OffScreenDen_VS: -2156.808><619.1708><-814.4034><853.8018><1><Pipeyard><0><0
Connection: GATE_HI_VS,VS_B01,36,5,39,67,3,1
Connection: GATE_SL_VS,VS_D02,2,11,194,16,2,0
Connection: GATE_SB_VS,VS_H01,44,22,6,26,0,2
Connection: GATE_SI_VS,VS_S09,11,19,21,12,1,0
Connection: GATE_SI_VS,VS_E07,11,5,12,167,3,2
Connection: VS_B01,VS_A02,41,8,4,4,0,2
Connection: VS_A02,VS_B02,45,22,4,24,0,2
Connection: VS_A01,VS_4B,46,21,7,14,0,2
Connection: VS_A01,VS_S04,43,16,22,16,3,2
Connection: VS_A01,VS_B08,34,9,5,70,3,1
Connection: VS_A01,VS_B04,15,10,39,67,3,1
Connection: VS_A01,VS_C03,23,11,11,94,3,1
Connection: VS_B02,VS_C04,46,44,6,19,0,2
Connection: VS_B02,VS_A03,47,29,3,17,0,2
Connection: VS_B02,VS_S01,39,7,28,13,3,2
Connection: VS_C04,VS_A06,141,19,5,20,0,2
Connection: VS_A03,VS_C02,35,10,38,104,3,1
Connection: VS_A03,VS_B03,30,8,35,71,3,1
Connection: VS_B03,VS_C01,45,10,3,23,0,2
Connection: VS_C01,VS_C03,144,24,9,10,0,3
Connection: VS_D01,VS_A05,3,127,46,13,2,0
Connection: VS_D01,VS_A06,44,121,10,4,0,2
Connection: VS_D01,VS_B04,43,101,5,39,0,2
Connection: VS_D01,VS_C02,4,18,45,49,2,0
Connection: VS_A05,VS_A14,6,19,44,14,2,0
Connection: VS_B04,VS_B08,40,50,8,55,0,2
Connection: VS_B04,VS_B07,26,3,10,71,3,1
Connection: VS_C02,VS_F02,42,8,8,69,0,1
Connection: VS_A04,VS_C05,41,21,43,2,0,3
Connection: VS_A04,VS_S20,3,23,27,23,2,0
Connection: VS_A04,VS_H02,14,8,46,195,3,0
Connection: VS_A04,VS_B12,23,7,4,29,3,1
Connection: VS_B07,VS_F02,14,3,143,65,3,0
Connection: VS_B08,VS_H02,45,46,5,253,0,2
Connection: VS_B08,VS_C03,18,4,33,42,3,0
Connection: VS_H02,VS_C05,40,281,6,12,0,2
Connection: VS_H02,VS_C03,5,159,44,21,2,0
Connection: VS_H02,VS_F01,39,7,88,44,3,1
Connection: VS_C05,VS_B09,141,5,8,28,3,2
Connection: VS_B09,VS_C06,87,16,4,50,0,3
Connection: VS_C06,VS_C13,1,93,145,9,2,0
Connection: VS_C06,VS_B10,43,88,3,8,0,2
Connection: VS_C06,VS_C07,3,17,142,27,2,0
Connection: VS_C13,VS_E07,6,29,42,17,2,0
Connection: VS_B10,VS_A07,43,15,4,13,0,2
Connection: VS_A07,VS_S05,43,22,23,18,0,2
Connection: VS_A07,VS_B11,19,12,43,73,3,1
Connection: VS_A07,VS_A_con1,24,11,10,31,3,1
Connection: VS_B11,VS_A08,4,5,43,5,2,0
Connection: VS_A08,VS_C07,2,7,144,6,2,0
Connection: VS_C07,VS_B12,10,18,91,30,2,0
Connection: VS_B12,VS_C09,92,5,39,105,3,1
Connection: VS_F01,VS_F02,7,48,145,9,1,3
Connection: VS_F01,VS_C11,4,23,34,106,2,0
Connection: VS_F01,VS_D04,142,14,19,11,0,2
Connection: VS_C09,VS_A13,10,3,13,22,3,1
Connection: VS_D04,VS_A13,17,70,19,3,1,3
Connection: VS_D04,VS_B16,88,10,4,27,0,2
Connection: VS_A13,VS_S07,41,20,25,13,0,3
Connection: VS_B16,VS_D03,98,7,15,43,0,2
Connection: VS_B16,VS_C10,6,3,92,31,3,1
Connection: VS_D02,VS_B05,9,24,84,24,2,0
Connection: VS_D02,VS_S02,153,29,22,21,2,0
Connection: VS_B05,VS_E01,7,18,242,18,2,0
Connection: VS_E01,VS_C08,4,30,144,24,2,0
Connection: VS_D05,VS_B18,111,31,15,3,1,3
Connection: VS_D05,GATE_VS_F1,5,30,11,19,2,1
Connection: VS_D05,VS_B14,3,27,93,16,2,0
Connection: VS_D05,VS_C08,6,24,13,10,2,2
Connection: VS_D03,VS_C10,3,16,147,7,2,0
Connection: VS_D03,VS_A09,94,12,14,17,0,3
Connection: VS_A09,VS_A10,44,18,6,17,0,2
Connection: VS_A10,VS_A11,39,7,3,31,3,2
Connection: VS_A10,VS_B13,19,8,15,64,3,1
Connection: VS_B13,VS_S06,3,16,19,11,2,0
Connection: VS_B13,VS_B14,45,14,5,16,0,2
Connection: VS_B13,VS_RF01,6,5,22,3,2,0
Connection: VS_A11,VS_B15,20,26,10,9,1,3
Connection: VS_A11,VS_A12,45,22,2,13,0,2
Connection: VS_A12,VS_B15,32,9,95,2,1,3
Connection: VS_A12,VS_A15,45,12,2,2,0,2
Connection: VS_A15,VS_B18,46,17,4,31,0,2
Connection: VS_C08,VS_B18,6,29,94,5,2,0
Connection: VS_C10,VS_C12,10,4,144,29,3,0
Connection: VS_C11,VS_E02,2,41,97,49,2,0
Connection: VS_C11,VS_C12,37,6,5,15,0,2
Connection: VS_E02,VS_MLE1,16,108,42,6,1,0
Connection: VS_E02,VS_B17,82,107,85,7,1,3
Connection: VS_E02,VS_B06,32,4,40,74,0,1
Connection: VS_B17,VS_E06,5,14,142,15,2,0
Connection: VS_F02,VS_E06,6,14,95,52,2,0
Connection: VS_E06,VS_S08,5,20,12,9,2,3
Connection: VS_H01,VS_B06,395,17,3,23,0,2
Connection: VS_B06,VS_S03,15,66,24,24,2,0
Connection: VS_MLE1,VS_MLE2,38,17,6,6,1,3
Connection: VS_MLE2,GATE_VS_ML,40,30,11,5,1,3
Connection: VS_RF01,VS_RF02,43,12,4,12,0,2
Connection: VS_RF02,VS_RF03,238,14,30,69,3,1
Connection: VS_RF03,GATE_RF_VS,7,12,45,11,2,0
Connection: VS_A_con1,VS_A_con2,42,24,2,24,0,2
Connection: VS_A_con2,VS_con4,43,33,25,15,1,3
Connection: VS_A_con2,VS_A_con3,46,8,3,7,0,2
Connection: VS_con4,GATE_VS_UF,43,20,2,9,0,2
Connection: VS_4B,GATE_4B_VS,44,17,2,12,0,2
