///The Vinki (3001275271)///
olaycolay.thevinki-name|The Vinki
Click to open the Graffiti Folder in your file explorer for easily adding custom graffiti|Нажмите, чтобы открыть папку граффити в вашем проводнике файлов, чтобы легко добавить пользовательские граффити.
Restore Default Graffiti|Восстановить по умолчанию
Restore the default graffiti that came with The Vinki. Useful for after installing an update that includes new default graffiti.|Восстановить граффити по умолчанию, поставляемые с Винки. Полезно после установки обновления, включающего новые граффити.
Reset Graffiti Folder to Default|Сбросить папку Граффити
Revert Graffiti Folder to default. This will remove any custom graffiti you've added to it!|Вернуть папке Граффити значение по умолчанию. Это удалит все пользовательские граффити, которые вы в неё добавили!
///Automatically Open Quest Map|Автоматически открывающаяся квест карта
///Automatically open the quest map after a cycle where you spray a new story graffiti. Disable if you want to speedrun|Автоматически открывать карту заданий после цикла, в котором вы норисовали новые сюжетные граффити. Отключите, если хотите пройти игру на скорость.
///Vinki Graffiti|Граффити Винки
///Unlockables|Открываемые
Unlock All Graffiti|Открыть все граффити
Unlock every graffiti. Useful if your game is bugged or you had to reset your Graffiti folder.|Открыть все граффити. Полезно, если ваша игра сломалась или вам пришлось сбросить папку с граффити.
Reset All Unlockables|Сбросить все граффити
Reset all unlockable graffitis to be locked from use.|Сбросить все разблокированные граффити, чтобы они были заблокированы вновь.
///Other Graffiti|Другие граффити
///Улучшена конфигурация ввода
Grind|Скольжение
Toggle Grind|Скольжение
Graffiti Mode|Граффити
Spray Graffiti|Нар. Граф.
Craft Spray Can|Крафт Граф.
Tag Creatures|Пемечение
///Начало игры
And what do we have here, on the once-pristine walls of my chamber?|И что же мы видим здесь, на некогда нетронутых стенах моей комнаты?
Is that ... scribble supposed to be me? Are those ... ears I'm wearing?|Этими... каракулями должен быть я? Это те самые... уши, которые я ношу?
Is that ... scribble supposed to be me? Am I in ... a tin can?|Этими... каракулями должен быть я? Я в... консервной банке?
I get the impression that you are proud of this, and I cannot understand why.|У меня сложилось впечатление, что ты гордишься этим, и я не могу понять почему.
Is this really an accomplishment to celebrate? Terrorizing me with an atrocity like this?|Это действительно достижение, которое стоит отпраздновать? Терроризируешь меня подобным зверством?
Someone must have put you up to this. Was it No Significant Harassment? His name has always been considerably ironic.|Должно быть, кто-то подговорил тебя на это. Был ли это Нет Значимых Забот? Его имя всегда вызывало много иронии.
Your blank stare behind that ridiculous headpiece gives me no answers.|Твой пустой взгляд из-за этого нелепого головного убора не даёт мне ответов.
It is simply laughable that a little beast climbed all the way up my exterior just to insult me in this way. I hope you realize that I am NOT<LINE>offended in any way, shape, or form. After all, I am a being who is, if you excuse me, godlike in compar-|Это просто смешно, что маленький зверек забрался в мой корпус только для того, чтобы оскорбить меня таким образом.<LINE>Я надеюсь, ты понимаешь, что я ни в коем случае НЕ оскорблён, ни в какой форме.<LINE>В конце концов, я существо, которое, с твоего позволения, по сравнению с другими богоподобно...
You disrespectful little cretin.|Ты неуважительный маленький кретин.
Get out of my sight! Do not return until you have accomplished something worthwhile.|Убирайся с глаз моих долой! Не возвращайся, пока не добьёшься чего-нибудь стоящего.
///Обучение
///Обучение граффити
Hold (UpArrow + LShift) while carrying a rock and colorful object (pearls, fruit, etc.) to craft a Spray Can.|Нажми «Вверх» + «LShift» держа в руках камень и красочный предмет (жемчуг, фрукты и т.д.), чтобы изготовить баллончик.
Hold (Up + Pickup) while carrying a rock and colorful object (pearls, fruit, etc.) to craft a Spray Can.|Нажми «Вверх» + «Взять» держа в руках камень и красочный предмет (жемчуг, фрукты и т.д.), чтобы изготовить баллончик.
Objects have varying amount of charges. You can also combine two Spray Cans, or recharge a can with another colorful object.|У предметов разное количество зарядов. Ты можешь объединить два баллончика или зарядить их другими яркими предметами.
Press (Special) while carrying a Spray Can to spend a charge and spray graffiti.|Нажми «С» при использовании баллончика с краской, чтобы потратить заряд и нанести граффити.
Press (UpArrow + LControl) while carrying a Spray Can to spend a charge and spray graffiti.|Нажми «Взять» + «LControl» при использовании баллончика с краской, чтобы потратить заряд и нанести граффити.
You can also damage some creatures by spraying them.|Ты также можешь нанести урон некоторым существам, обрызгав их.
Throwing a Spray Can will create a large, non-lethal explosion of compressed paint.|Если ты бросишь баллончик с краской, произойдёт мощный взрыв, который не приведёт к смерти.
The more charges a Spray Can has, the more force the explosion will have. (The max charges of a Spray Can is 5)|Чем больше зарядов в баллончике, тем большей силы будет взрыв. (Максимальное количество зарядов в баллончике — 5)
///Голограмма
The hologram-like visions show where you need to spray in order to pursue your goal.|Похожие на голограммы изображения показывают, куда тебе нужно нарисовать граффити, чтобы достичь своей цели.
Some large pieces may require you to spray from multiple positions.|Для некоторых крупных деталей может потребоваться распыление с нескольких сторон.
It appears that Five Pebbles might not tolerate your graffiti being anywhere near him. Search for better spots elsewhere.|Похоже, Пять Галек не потерпит, чтобы твоё граффити находилось где-то рядом с ним. Поищи другие места.
... in a future update.|...в следующих обновлениях.
///Обучение скольжению
Hold (LShift) while moving atop a horizontal beam or climbing a vertical pole to grind.|Удерживай «LShift» для скольжения во время перемещения по горизонтальной балке или подъёма на вертикальную.
Hold (Pickup) while moving atop a horizontal beam or climbing a vertical pole to grind.|Удерживай «Взять» для скольжения во время перемещения по горизонтальной балке или подъёма на вертикальную.
While grinding atop a horizontal beam, jump to execute a trick jump.|Во время тренировки на горизонтальной балке подпрыгни, чтобы выполнить трюковой прыжок.
While grinding up a vertical pole, hold jump to trick jump off the top of the pole.|Поднимаясь по вертикальному балке, удерживай прыжок, чтобы выполнить трюк с прыжком с вершины балки.
Hold (LShift) while falling to catch a horizontal beam with your feet and continue grinding.|Удерживай «LShift» во время падения, чтобы зацепиться за горизонтальную балку, и продолжить скольжение.
Hold (Pickup) while falling to catch a horizontal beam with your feet and continue grinding.|Удерживай «Взять» во время падения, чтобы зацепиться за горизонтальную балку, и продолжить скольжение.
You can hold down to fall off a beam, then let go to catch another beam.|Ты можешь удерживать нажатой кнопку, чтобы упасть с балки, а затем отпустить её, чтобы поймать другую балку.
By jumping at the very end of a beam, you will Coyote Jump. This gives you even more jump height and speed.|Прыгнув с самого конца балки, ты получишь прыжок койота. Это даст тебе ещё больше высоты и скорости прыжка.
You can execute a similar boost by falling from grinding a beam, and jumping right when you land on the ground.|Подобное ускорение можно получить, упав с балки и прыгнув сразу после приземления на землю.
///Открытие граффити
New graffiti unlocked: |Открыто новое граффити: 
///Нарисовать граффити
Were you even listening to me? It appears to me that you find painting in my chamber more interesting than my words, I suppose. I would appreciate it if you did not interrupt me in the future, little friend.|Ты вообще меня слушал? Мне кажется, живопись в моей комнате кажется тебе более интересной, чем мои слова.<LINE>Я была бы признательна, если бы ты не перебивал меня в будущем, маленький друг.
Little creature... I asked you to please not interrupt me. I know you love art, but could you settle down and listen for a moment?|Маленькое создание... Я просила тебя, пожалуйста, не перебивай меня.<LINE>Я знаю, ты любишь искусство, но не мог бы ты немного успокоиться и послушать?
And now you are painting again...|А теперь ты снова рисуешь...
Am I boring you, little creature?|Я тебе не надоела, маленькое создание?
You are not the most attentive creature, are you?|Ты не самое внимательное создание, не так ли?
Ah... I would appreciate you not painting over my chamber walls. Feel free to do so outside of it, but I require clear walls to project holographic graphs over. Your art, as beautiful as it is, might distort them.|Ах... Я была бы признателена, если бы ты не закрашивал стены моей комнаты.<LINE>Не стесняйся делать это за её пределами, но мне нужны прозрачные стены для проецирования голографических графиков.<LINE>Твои рисунки, какими бы прекрасными они ни были, могут их исказить.
I already told you to not paint over my chamber walls. I'm sure you can find plenty of significantly better canvas outside of my chamber, and I don't want to have to destroy your hard work, so please do so outside.|Я уже говорила тебе, чтобы ты не закрашивал стены моей комнаты.<LINE>Я уверена, что ты можешь найти множество холстов значительно лучшего качества за пределами моей комнаты,<LINE>и я не хочу портить твою кропотливую работу, поэтому, пожалуйста, делай это снаружи.
Are you ignoring my request on purpose? Please paint outside.|Ты намеренно игнорируешь мою просьбу? Пожалуйста, рисуй снаружи.
Little friend, I truly need my walls clean for my systems to work correctly. Please stop.|Маленький друг, мне действительно нужно, чтобы мои стены были чистыми, чтобы мои системы работали правильно.<LINE>Пожалуйста, остановись.
You are wasting your materials. Your paintings cannot stay here. Please listen.|Ты напрасно тратишь материалы. Твои картины не могут остаться здесь. Пожалуйста, выслушай меня.
Do you simply want to show me your art, even if it gets erased? That would be okay, I suppose.<LINE>Just don't be surprised when you find it gone if you return next cycle.|Ты просто хочешь показать мне свои рисунки, даже если они будут стёрты?<LINE>Я думаю, это было бы нормально. Только не удивляйся, если в следующем цикле ты обнаружишь, что они исчезли.
As for what I was saying before you rudely interrupted me...|Что касается того, что я говорила до того, как ты грубо прервал меня...
Incredible. Thank you.|Невероятно. Спасибо.
As I was saying...|Как я и говорила...
///Сообщения Луны
...Ah. I see you did not appreciate my gift for you.|...Ах, я вижу, ты не оценил мой подарок.
I will accept your choice, though. It is not my place to judge, as disrespectful as it felt to my efforts.|Однако я приму твой выбор. Не мне судить, как бы неуважительно это ни звучало по отношению к моим усилиям.
...What have you done?!|...Что ты наделал?!
So much data lost... Please leave.|Так много данных потеряно... Пожалуйста, уходи.
...Little creature? Could you not use my data pearls to create your tools? I might not miss one or two, but I would like to save the information which is held within them.|...Маленькое создание? Не мог бы ты не использовать мои жемчужины данных для создания своих инструментов?<LINE>Возможно, я не пропущу одну или две, но я бы хотела сохранить информацию, которая в них содержится.
Maybe you could find some empty pearls outside of my chamber, or use something else?|Может быть, ты мог бы найти несколько пустых жемчужин за пределами моей комнаты или использовать что-нибудь другое?
Little creature. I asked you once, please do not use my pearls as painting supplies. Losing data is very unpleasant, please find other materials.|Маленькое создание. Я уже просила тебя однажды, пожалуйста, не используй мой жемчуг в качестве принадлежностей для рисования.<LINE>Потеря данных — это очень неприятно, пожалуйста, найди другие материалы.
Please stop destroying my data pearls. Find other materials.|Пожалуйста, перестань уничтожать мои данные. Найди другие материалы.
What is wrong with you. Why are you blue? Anyways...|Что с тобой не так? Почему ты такой грустный? В любом случае...
///Сообщения Луны
Please leave.|Пожалуйста, уходи.
This is not a request. I have important work to do.|Это не просьба. Мне нужно сделать важную работу.
Unfortunately, my operations are encoded with a restriction that prevents<LINE>me from carrying out violent actions against my own citizens.|К сожалению, в моих операциях зашифровано ограничение,<LINE>не позволяющее мне совершать насильственные действия против собственных граждан.
Please do not take advantage of this. I do not have the patience for your continued presence here.|Пожалуйста, не пользуйся этим. У меня не хватит терпения выносить твоё дальнейшее присутствие здесь.
Did you not register what I've said to you?|Неужели ты не понял, что я тебе сказала?
LEAVE.|УХОДИ.
I'm returning to my work. Unless you have anything productive<LINE>for me, I have nothing further to say to you.|Я возвращаюсь к своей работе. Если у тебя нет для меня ничего полезного,<LINE>мне больше нечего тебе сказать.
///Сообщения Луны
Oh, it appears that the color-changing radiation worked! You look spiffy, little friend~ Anyways...|Ох, похоже, излучение, изменяющее цвет, сработало! Ты выглядишь шикарно, маленький друг...<LINE>В любом случае...
Hello, little friend!|Привет, маленький друг!
I have the pearl for you, with your mural safely stored within it.|У меня есть для тебя жемчужина, в которой надежно хранится твоя фреска.
If you would like to see it again, just hand me the pearl, and I will project it once again.|Если ты хочешь увидеть её снова, просто передай мне жемчужину, и я покажу её ещё раз.
///Hello, <PlayerName>.|Привет, <PlayerName>.
It is good to see you again, even if I have nothing to give you.|Рада снова тебя видеть, даже если мне нечего тебе дать.
///Hello again, <PlayerName>.|Привет ещё раз, <PlayerName>.
How have you been?|Как у тебя дела?
///Ah... <PlayerName>, you're back!|Ах... <PlayerName>, ты вернулся!
///Hello, <PlayerName>. You're here again.|Привет, <PlayerName>. Ты снова здесь.
Welcome back unusual creature.|Добро пожаловать обратно, необычное существо.
It seems to me like you were quite busy with your work, and yet you still made some time to visit me.|Мне кажется, ты был очень занят своей работой, но всё же нашёл время навестить меня.
I wonder what is it that you want? Is it just to say hello?|Интересно, чего ты хочешь? Это просто чтобы поздороваться?
Feel free to visit anytime you wish, little creature. I don't mind.|Не стесняйся приходить в любое время, когда пожелаешь, маленькое создание. Я не возражаю.
///Граффити
///Tsuno - Living Paintbrush
Now let me take a look...|А теперь позволь мне взглянуть...
Is it a hazer? I truly hope you are not planning on using their ink to create your paintings, as it is significantly more difficult to remove than your current painting materials.|Это вредно? Я искренне надеюсь, что ты не планируешь использовать их чернила для создания своих картин,<LINE>так как их значительно труднее удалить, чем твои нынешние материалы для рисования.
...Please do not take this as a suggestion.|...Пожалуйста, не воспринимай это как предложение.
///Salami_Hunter - Five Cans
I don't even know what to think of this...|Я даже не знаю, что об этом думать...
What prompted you to come up with such a concept?|Что побудило тебя придумать такую концепцию?
///Tsuno - Vulture Remote
It is a depiction of a vulture grub, summoning multiple vultures.|Это изображение личинки стервятника, вызывающей множество стервятников.
Those two beings are truly interesting. Did you know they have a close symbiotic relationship? You depicted it, so of course you must be at least aware of it.|Эти два существа действительно интересны. Знаешь ли ты, что у них тесные симбиотические отношения?<LINE>Ты изобразили это, так что, конечно, ты должно быть, по крайней мере, осведомлён об этом.
When one of them gets grabbed, it will emit a laser, which causes any nearby vulture to be aware of a potential meal and fly over to check!|Когда кто-нибудь из них будет схвачен, он испустит лазерный луч,<LINE>который заставит любого стервятника поблизости заметить потенциальную добычу и подлететь проверить!
If they find no meal, however, they will grab and eat the grub, which is truly unfortunate for the grub.|Однако, если они не найдут еды, они схватят и съедят личинку, что действительно прискорбно для личинки.
///Tiny Slugcat - Ran Out of Orange Paint
This again? Too much radiation could be harmful to your species, as I said before. I know you are impatient, but please wait and allow it to take effect. Perhaps next cycle?|Опять это? Как я уже говорила, слишком сильное излучение может быть вредным для тебя.<LINE>Я знаю, что ты нетерпелив, но, пожалуйста, подожди и дай ему подействовать. Возможно в следующем цикле?
This again? It seems like you are enjoying being blue, but I don’t want to harm you or give you permanent damage of any kind. I’m sorry, but uncontrollable mutations are never a good thing.<LINE>Wait until it fades and I can reapply the colors safely.|Опять это? Кажется, тебе нравится быть синим, но я не хочу причинять тебе вред или наносить какие-либо необратимые повреждения.<LINE>Прости, но неконтролируемые мутации никогда не бывают хорошими. Подожди, пока они не исчезнут, и я смогу безопасно перекрасить цвета.
Oh, were you hoping for me to make your appearance like this? I suppose I could attempt to radiate you with some color-changing particles, but I’m unsure if it would work for your species.|Ох, ты надеялся, что я придам тебе такой вид?<LINE>Полагаю, я могла бы попытаться придать тебе сияние с помощью каких-нибудь частиц, меняющих цвет,<LINE>но я не уверена, что это сработает для твоего вида.
One second...|Одну секунду...
Okay, it is finished. It might not look like it, but you should change sometime soon. Keep in mind it is only temporary, as too much radiation might be harmful to your species, little friend.|Ладно, с этим покончено. Может показаться, что это не так, но ты изменишься в ближайшее время.<LINE>Помни, что это только временно, так как слишком высокая радиация может нанести вред тебе, маленький друг.
///Still-Icarus - Night Terrors
Is it a lantern mouse? It does look vaguely similar, but there's something odd about this depiction. I do find this piece mildly unsettling.|Это фонарная мышь? Она действительно выглядит немного похожей, но в этом изображении есть что-то странное.<LINE>Я действительно нахожу это изображение слегка тревожным.
Was it intended?|Было ли это преднамеренно?
///Salami_Hunter - Fall of Miros
Does this represent a purposed organism that you have seen? It seems like this is almost a memorial of sorts to one.|Представляет ли это специально созданный организм, который ты видел? Кажется, что это своего рода памятник кому-то.
I imagine there are not many creatures out there that would be friendly towards you, so I wonder why you decided to memorialize this one.|Я полагаю, что на свете не так уж много существ, которые были бы дружелюбны по отношению к тебе,<LINE>поэтому мне интересно, почему ты решил увековечить память об этом существе.
///The_Pana_Hoskar - Da One and Only
An assortment of your body parts and garments. By the way that they are arranged, it is almost like it is trying to say something...|Ассортимент частей твоего тела и предметов одежды.<LINE>Судя по тому, как они расположены, создаётся впечатление, что они пытаются что-то сказать...
///NoneHereF - KARMA
An interesting piece, that's for sure. Based on the symbol, I believe the creature you drew is searching for ascension?|Интересная штука, это точно. Судя по символу, я полагаю, что нарисованное тобою существо стремится к вознесению?
It is a difficult goal to achieve. I can only hope that they succeeded in what they wanted to do.|Это труднодостижимая цель. Я могу только надеяться, что они преуспели в том, что хотели сделать.
///Salami_Hunter - Cute as Fearsome
It is a very adorable depiction of a lizard.|Это очень милое изображение ящерицы.
I don't believe it is very accurate to their anatomy, however. Isn't the head a bit too large?|Однако я не думаю, что это очень точно отражает их анатомию. Не слишком ли велика голова?
///Tsuno - Squidburger
...Is that a squidcada covered by bread?|...Это что, кальмарокады, покрытые хлебом?
I suspect that Five Pebbles' overseers still broadcast quick meal ads, despite the audience being long since gone. Have you gotten your inspiration from there?|Я подозреваю, что наблюдатели Пяти Галек до сих пор транслируют рекламу быстрого питания, несмотря на то, что аудитория давно ушла.<LINE>Черпал ли ты там вдохновение?
I do find this depiction amusing. I might even send it to a few friends, if you don't mind...?|Я нахожу это изображение забавным. Я могла бы даже разослать его нескольким друзьям, если ты не возражаешь...?
///NoneHereF - Paint Lizard
It is a lizard that had spray paint thrown at it. I hope that their eyes are alright, as paint in places it is not meant to be can be quite harmful, and might even cause loss of vision.|Это ящерица, в которую плеснули краской из баллончика.<LINE>Я надеюсь, что с глазами у неё всё в порядке, так как краска в местах, где её не должно быть,<LINE>может быть очень вредной и даже привести к потере зрения.
Although... I have a feeling you are quite proud of what you did, aren't you?|Хотя... У меня такое чувство, что ты очень гордишься тем, что сделал, не так ли?
///fallingivyy - Colorful
Have you based this one on a prism, mixed with a living being?|Ты основал этот рисунок на призме, смешанной с живым существом?
Unfortunately, I do not think your species is capable of reflecting light in such a manner. I wonder what might’ve made you come up with such an idea?|К сожалению, я не думаю, что ваш биологический вид способен отражать свет таким образом.<LINE>Интересно, что могло натолкнуть тебя на такую идею?
///Tsuno - Acid Bath
This is... Concerning.|Это... Что касается.
Please do not swim in any chemicals you might find inside or outside our structures, little friend! While the cycle will let you wake right back up again, it is truly an unpleasant way to go.|Пожалуйста, маленький друг, не купайся ни в каких химикатах, которые ты можешь обнаружить внутри или снаружи наших конструкций!<LINE>Хотя цикл позволит тебе сразу же проснуться, это действительно неприятный способ.
Please be careful.|Пожалуйста, будь осторожен.
///Salami_Hunter - Ouroboros
I find it impressive how well you adapt to various painting styles. I think Pebbles would like this one. It reminds me of an ancient piece of art which symbolizes unity of all existing things within the cycle.|Я нахожу впечатляющим, как хорошо ты адаптируешься к различным стилям живописи. Думаю, эта картина понравилась бы Гальке.<LINE>Она напоминает мне о древнем произведении искусства, которое символизирует единство всего существующего в рамках цикла.
Did you know about it when you painted it?|Ты знал об этом, когда рисовал картину?
///tealppup - Say No
I'm quite confused by this art piece, I apologize. It appears that you do not approve of the use of mushrooms.|Я совершенно сбита с толку этим произведением искусства, прошу прощения.<LINE>Похоже, ты не одобряешь использование грибов.
They can indeed become dangerous after repeated ingestion, but I wonder why you dislike them so strongly. Do you not enjoy their taste?|Они действительно могут стать опасными при повторном употреблении, но мне интересно, почему они тебе так не нравятся.<LINE>Тебе не нравится их вкус?
///Tsuno - Gummy Lizard
This one looks both menacing and adorable at the same time! Is it a friend? Or an enemy? I wonder...|Этот выглядит одновременно грозным и очаровательным! Это друг? Или враг? Интересно...
I surely hope that the liquid pouring from this poor lizard's mouth is not meant to be void fluid, as that would surely be unpleasant for the creature.|Я очень надеюсь, что жидкость, вытекающая изо рта этой бедной ящерицы, не является Пустотной жидкостью,<LINE>так как это, несомненно, было бы неприятно для существа.
///RW - smileycreature
The creature that you drew is oddly shaped. Is it based on anything in particular?|Существо, которое ты нарисовал, имеет странную форму. Оно основано на чём-то конкретном?
///Tsuno - Lilypuck Karma
Oh... Huh. Those flowers definitely hold some resemblance to an ancient karma symbol, I wonder if it was intended?|Ох... Да. Эти цветы определенно имеют некоторое сходство с древним символом кармы, интересно, так ли это было задумано?
These flowers are a form of organic lighting for underground machinery, so I wonder where you saw them!|Эти цветы — одна из форм органического освещения подземных сооружений, поэтому мне интересно, где ты их видел!
They are also very sharp, so I advise you to be careful next time you see them.|Они также очень острые, поэтому я советую тебе быть осторожнее, когда ты увидишь их в следующий раз.
///True Victory
...Oh. That is an incredibly detailed piece of artwork, I see.|...Ох, я вижу, это невероятно детализированное произведение искусства.
As much as I am still quite unhappy about you painting on my chamber walls... I can’t help but admire your skill and determination, little friend.|Хотя я всё ещё очень недовольна тем, что ты рисуешь на стенах моей комнаты...<LINE>Я не могу не восхищаться твоим мастерством и решимостью, маленький друг.
You likely spent a lot of time learning how to draw all those creatures, and your perseverance alone is incredibly admirable!|Ты, вероятно, потратил много времени на то, чтобы научиться рисовать всех этих существ, и одна твоя настойчивость вызывает восхищение!
Especially considering that you had to spend enough time near all of those dangerous predators to learn how they look... Truly admirable.|Особенно если учесть, что тебе пришлось провести достаточно времени рядом со всеми этими опасными хищниками, чтобы узнать, как они выглядят...<LINE>Поистине восхитительно.
You must’ve traveled and seen quite a lot in your life, didn’t you?|Ты, должно быть, много путешествовал и повидал в своей жизни, не так ли?
I feel so incredibly regretful about having to erase it, even if I need my walls clean...|Я испытываю невероятное сожаление из-за того, что мне приходится это стирать,<LINE>даже если мне нужно, чтобы мои стены были чистыми...
...Would you like me to immortalize it for you? I could take a picture and print it inside a pearl for you. You might not be able to read it, but if you give it to me, I could project the mural a second time through holograms.|...Хочешь, я увековечу это для тебя?<LINE>Я мола бы сделать снимок и напечатать его внутри жемчужины для тебя.<LINE>Возможно, ты не сможешь прочитать её, но если ты дашь её мне, я смогу во второй раз спроецировать фреску с помощью голограмм.
That seems like a good idea, doesn’t it?|Это кажется хорошей идеей, не так ли?
Come back next cycle, and I will have it done by then.|Приходи в следующем цикле, и к тому времени я всё сделаю.
///Tsuno - Batnip Lure
It is a simple depiction of a fern-like plant. I believe that it is a fly lure, which was used often to lure away pests from areas where their continuous presence would be damaging.|Это простое изображение растения, похожего на папоротник. Я полагаю, что это приманка для мух, которую часто использовали,<LINE>чтобы выманить вредителей из районов, где их постоянное присутствие могло бы нанести вред.
I believe it is beneficial for you, however, as it definitely makes catching them easier!|Однако я считаю, что это полезно для тебя, так как определенно облегчает их поимку!
///ArtisticDragon1292 - big shoe lmfao
I... I’m afraid I do not understand the meaning of this. Are you trying to tell me that you like your apparel? It is very nice, yes.|Я... Боюсь, я не понимаю смысла этого. Ты пытаешься сказать мне, что тебе нравится твоя одежда? Да, она очень красивая.
///Tsuno - Lil Moon
...Is that me? It is quite adorable, thank you!|...Это я? Это просто восхитительно, спасибо!
I'm touched that you would take time out of your cycle just to draw my puppet, little friend.|Я тронута тем, что ты выкроил время из своего цикла только для того, чтобы нарисовать мою куклу, маленький друг.
However... I find it unfortunate that you had to paint it in such an unlucky spot. Maybe you could recreate it outside of my chamber next time?|Однако... Мне очень жаль, что тебе пришлось рисовать это в таком неудачном месте.<LINE>Может быть, в следующий раз ты мог бы воссоздать это за пределами моей комнаты?
///ArtisticDragon1292 - Illegible Neon Signs
Oh... I see you tried to imitate letters of an ancient language, which you likely encountered at some point during your time outside.|Ой... Я вижу, ты пытался имитировать буквы древнего языка, с которым, вероятно, когда-то сталкивался, находясь снаружи.
While this is a great attempt, little scholar, what you wrote here is illegible. Would you like me to teach you how to write properly? You appear intelligent enough to understand a few words.|Несмотря на то, что это отличная попытка, маленький ученый, то, что ты здесь написал, неразборчиво.<LINE>Хочешь, я научу тебя правильно писать? Ты, кажется, достаточно умён, чтобы понять несколько слов.
///Still-Icarus - Death be Upon Ye
