///Watcher Expeditions (3466127398)
WatcherExpeditions-name|Экспедиции для Созерцателя
Carry over Warp Map progress|Перенос прогресса деформируемой карты.
Carry over discovered Warps that always have the same destination.|Перенос обнаруженных перекосов, которые всегда ведут к одному и тому же месту назначения.
Hunt - Barnacles|Охота — Усоноги
Allow Hunting challenges to pick : Barnacle. As of 1.10.2 they can be desheled with Snails.|Разрешите выбирать охотничьи задания : Усоноги. Начиная с 1.10.2, их можно очистить от скорлупы улитками.
Hunt - Sand Worms|Охота — Песчаный червь
Allow Hunting challenges to pick : Sand Worm. Similiar Monster Kelp, but stun you making escape not possible once grabbed, and can hide.|Разрешите выбирать охотничьи задания : Песчаный червь. Похожие на Чудовищные Водоросли, но оглушают вас, делая побег невозможным после захвата, и можгут прятаться.
Hunt - Box Worm|Охота — Коробчатый червь
///Allow Hunting challenges to pick : Box Worm. Box Worms can easily trap you, need to be activated before being killable, and aren't much fun to fight.\nUninhabitated Box Worms are unkillable.
Hunt - Big Moth|Охота — Большая моль
Allow Hunting challenges to pick : Big Moth. With 1.10.2 these seem more fight-able and escapeable. |Разрешите выбирать охотничьи задания : Большая моль. В версии 1.10.2 они кажутся более боеспособными и способными к побегу.
Hunt - Bone Shaker|Охота — Костотряс
Allow Hunting challenges to pick : Bone Shaker. They only appear in rot regions and can be killed from the top, by knocking them over. |Разрешите выбирать охотничьи задания : Костотряс. Они появляются только в местах гнили, и их можно убить, сбив с ног.
///Экспедиция
Rot World|Гниющий Мир
Infect <score_target> regions with sentient rot [<current_score>/<score_target>]|Зарази <score_target> регионов разумной гнилью [<current_score>/<score_target>]
Rot Spreading|Заражение гнилью
Bone Shakers|Костотрясы
///Visit Spinning Top in <region>
///Spinning Top
